Line	z_cosmo	z_doppler	z_effective	wavelength [A]	                 delta wavelength [A]	 optical depth	 column density [cm^-2]	                 thermal broadening [km/s]	 equivalent width [A]	 velocity_los [km/s]	                 temperature [K]	 dl [kpccm/h]	 cell_volume [kpccm/h^3]	                 x [kpccm/h]	 y [kpccm/h]	 z [kpccm/h]	 v_x [km/s]	 v_y [km/s]	                 v_z [km/s]	
Line,z_cosmo,z_dopp,z_eff,lambda,delta lamdba,tau,N,thermal_b,EW,v_los,T,dl,cell_volume,x,y,z,vx,vy,vz
C II 1036,2.220446e-16,3.607154e-04,3.607154e-04,1036.710823,0.373823,0.000000e+00,6.409563e+14,4.467795e-07,0.000000e+00,1.080278e+02,8.682435e+03,6.140007e-03,2.842171e-05,2.181963e+04,3.271516e+04,3.289772e+04,-1.762496e+02,1.639021e+02,-9.586094e+01
C II 1036,-2.048149e-09,3.753623e-04,3.753602e-04,1036.726000,0.389000,0.000000e+00,3.359580e+15,4.461066e-07,0.000000e+00,1.124185e+02,8.656303e+03,3.114828e-02,2.842171e-05,2.181963e+04,3.271513e+04,3.289772e+04,-1.740372e+02,1.637948e+02,-1.007425e+02
C II 1036,-1.243842e-08,3.661023e-04,3.660898e-04,1036.716392,0.379392,0.000000e+00,2.501735e+15,4.483892e-07,0.000000e+00,1.096417e+02,8.745112e+03,2.367322e-02,2.842171e-05,2.181963e+04,3.271513e+04,3.289775e+04,-1.787375e+02,1.588610e+02,-1.026749e+02
C II 1036,-2.033520e-08,3.761780e-04,3.761577e-04,1036.726826,0.389826,0.000000e+00,1.740218e+15,4.456300e-07,0.000000e+00,1.126641e+02,8.637815e+03,1.616470e-02,2.842171e-05,2.181963e+04,3.271510e+04,3.289775e+04,-1.750309e+02,1.574167e+02,-1.061148e+02
C II 1036,-2.572733e-08,3.676996e-04,3.676739e-04,1036.718034,0.381034,0.000000e+00,1.724100e+15,4.484938e-07,0.000000e+00,1.101209e+02,8.749195e+03,1.630849e-02,2.842171e-05,2.181963e+04,3.271510e+04,3.289778e+04,-1.801615e+02,1.528705e+02,-1.082510e+02
C II 1036,-3.116742e-08,3.765467e-04,3.765155e-04,1036.727197,0.390197,0.000000e+00,2.417182e+15,4.524809e-07,0.000000e+00,1.127690e+02,8.905443e+03,2.234831e-02,2.842171e-05,2.181960e+04,3.271510e+04,3.289778e+04,-1.833441e+02,1.547773e+02,-1.116576e+02
C II 1036,-3.862225e-08,3.832891e-04,3.832504e-04,1036.734177,0.397177,0.000000e+00,1.285487e+14,4.483597e-07,0.000000e+00,1.147934e+02,8.743961e+03,1.181114e-03,2.842171e-05,2.181960e+04,3.271507e+04,3.289778e+04,-1.786267e+02,1.526480e+02,-1.138684e+02
C II 1036,-3.901623e-08,3.757616e-04,3.757225e-04,1036.726375,0.389375,0.000000e+00,4.266576e+15,4.519918e-07,0.000000e+00,1.125344e+02,8.886202e+03,3.983791e-02,2.842171e-05,2.181960e+04,3.271507e+04,3.289781e+04,-1.843019e+02,1.485622e+02,-1.162696e+02
C II 1036,-5.230514e-08,3.714157e-04,3.713633e-04,1036.721858,0.384858,0.000000e+00,1.471029e+15,4.572451e-07,0.000000e+00,1.112274e+02,9.093965e+03,1.380247e-02,2.842171e-05,2.181960e+04,3.271507e+04,3.289784e+04,-1.911204e+02,1.457992e+02,-1.194319e+02
C II 1036,-5.690929e-08,3.702198e-04,3.701628e-04,1036.720613,0.383613,0.000000e+00,1.856975e+15,4.490723e-07,0.000000e+00,1.108763e+02,8.771776e+03,1.778415e-02,2.842171e-05,2.181960e+04,3.271504e+04,3.289784e+04,-1.830471e+02,1.410690e+02,-1.190239e+02
C II 1036,-6.284163e-08,3.757382e-04,3.756753e-04,1036.726326,0.389326,0.000000e+00,8.702942e+14,4.515971e-07,0.000000e+00,1.125281e+02,8.870691e+03,8.251298e-03,2.842171e-05,2.181956e+04,3.271504e+04,3.289784e+04,-1.851122e+02,1.417960e+02,-1.215182e+02
C II 1036,-6.559405e-08,3.720282e-04,3.719626e-04,1036.722479,0.385479,0.000000e+00,3.026768e+15,4.573700e-07,0.000000e+00,1.114113e+02,9.098932e+03,2.878605e-02,2.842171e-05,2.181956e+04,3.271504e+04,3.289787e+04,-1.920752e+02,1.393815e+02,-1.247363e+02
C II 1036,-7.519634e-08,3.681918e-04,3.681166e-04,1036.718493,0.381493,0.000000e+00,1.126390e+15,4.481111e-07,0.000000e+00,1.102699e+02,8.734266e+03,1.105186e-02,2.842171e-05,2.181956e+04,3.271501e+04,3.289787e+04,-1.829567e+02,1.342087e+02,-1.231796e+02
C II 1036,-7.888296e-08,3.645588e-04,3.644799e-04,1036.714724,0.377724,0.000000e+00,4.045801e+15,4.535755e-07,0.000000e+00,1.091767e+02,8.948585e+03,3.983791e-02,2.842171e-05,2.181956e+04,3.271501e+04,3.289790e+04,-1.892544e+02,1.318195e+02,-1.261309e+02
C II 1036,-9.217187e-08,3.625125e-04,3.624203e-04,1036.712590,0.375590,0.000000e+00,4.000121e+14,4.594583e-07,0.000000e+00,1.085585e+02,9.182213e+03,3.931720e-03,2.842171e-05,2.181956e+04,3.271501e+04,3.289793e+04,-1.956762e+02,1.300698e+02,-1.292897e+02
C II 1036,-9.348339e-08,3.537819e-04,3.536883e-04,1036.703540,0.366540,0.000000e+00,2.993203e+14,4.474700e-07,0.000000e+00,1.059529e+02,8.709295e+03,3.095108e-03,2.842171e-05,2.181956e+04,3.271498e+04,3.289793e+04,-1.838942e+02,1.232984e+02,-1.258659e+02
C II 1036,-9.451584e-08,3.572725e-04,3.571779e-04,1036.707157,0.370157,0.000000e+00,3.181050e+15,4.499086e-07,0.000000e+00,1.069974e+02,8.804481e+03,3.281108e-02,2.842171e-05,2.181953e+04,3.271498e+04,3.289793e+04,-1.856793e+02,1.232767e+02,-1.279940e+02
C II 1036,-1.054608e-07,3.581527e-04,3.580472e-04,1036.708058,0.371058,0.000000e+00,1.888791e+15,4.633707e-07,0.000000e+00,1.072495e+02,9.339254e+03,1.891530e-02,2.273737e-04,2.181955e+04,3.271500e+04,3.289798e+04,-1.996245e+02,1.245155e+02,-1.332737e+02
C II 1036,-1.117704e-07,3.391691e-04,3.390573e-04,1036.688378,0.351378,0.000000e+00,3.843524e+15,4.383841e-07,0.000000e+00,1.015830e+02,8.359200e+03,4.322756e-02,2.273737e-04,2.181955e+04,3.271494e+04,3.289798e+04,-1.742843e+02,1.106777e+02,-1.253008e+02
