Line	z_cosmo	z_doppler	z_effective	wavelength [A]	                 delta wavelength [A]	 optical depth	 column density [cm^-2]	                 thermal broadening [km/s]	 equivalent width [A]	 velocity_los [km/s]	                 temperature [K]	 dl [kpccm/h]	 cell_volume [kpccm/h^3]	                 x [kpccm/h]	 y [kpccm/h]	 z [kpccm/h]	 v_x [km/s]	 v_y [km/s]	                 v_z [km/s]	
Line,z_cosmo,z_dopp,z_eff,lambda,delta lamdba,tau,N,thermal_b,EW,v_los,T,dl,cell_volume,x,y,z,vx,vy,vz
C II 1036,2.220446e-16,-2.176158e-04,-2.176158e-04,1036.111477,-0.225523,0.000000e+00,3.389440e+14,4.467795e-07,0.000000e+00,-6.535149e+01,8.682435e+03,3.246897e-03,2.842171e-05,2.181963e+04,3.271516e+04,3.289772e+04,-1.762496e+02,1.639021e+02,-9.586094e+01
C II 1036,-1.083081e-09,-2.183403e-04,-2.183413e-04,1036.110725,-0.226275,0.000000e+00,2.877745e+15,4.416424e-07,0.000000e+00,-6.556372e+01,8.483920e+03,2.852779e-02,2.842171e-05,2.181966e+04,3.271516e+04,3.289772e+04,-1.723820e+02,1.611655e+02,-9.193180e+01
C II 1036,-1.059921e-08,-2.283711e-04,-2.283817e-04,1036.100320,-0.236680,0.000000e+00,2.475909e+15,4.432307e-07,0.000000e+00,-6.857185e+01,8.545054e+03,2.535413e-02,2.842171e-05,2.181966e+04,3.271519e+04,3.289772e+04,-1.754090e+02,1.623782e+02,-8.707358e+01
C II 1036,-1.905670e-08,-2.120274e-04,-2.120465e-04,1036.117248,-0.219752,0.000000e+00,1.014759e+15,4.478130e-07,0.000000e+00,-6.367525e+01,8.722650e+03,1.042817e-02,2.842171e-05,2.181966e+04,3.271519e+04,3.289775e+04,-1.816434e+02,1.595550e+02,-9.017612e+01
C II 1036,-2.253526e-08,-2.245347e-04,-2.245572e-04,1036.104283,-0.232717,0.000000e+00,3.387880e+15,4.501326e-07,0.000000e+00,-6.742685e+01,8.813248e+03,3.578230e-02,2.842171e-05,2.181966e+04,3.271523e+04,3.289775e+04,-1.852392e+02,1.618032e+02,-8.542623e+01
C II 1036,-3.447132e-08,-2.378569e-04,-2.378914e-04,1036.090464,-0.246536,0.000000e+00,1.362731e+15,4.521290e-07,0.000000e+00,-7.142273e+01,8.891598e+03,1.482458e-02,2.842171e-05,2.181966e+04,3.271526e+04,3.289775e+04,-1.886376e+02,1.641189e+02,-8.036234e+01
C II 1036,-3.941641e-08,-2.246160e-04,-2.246554e-04,1036.104181,-0.232819,0.000000e+00,1.967017e+15,4.594591e-07,0.000000e+00,-6.745953e+01,9.182246e+03,2.095771e-02,2.842171e-05,2.181966e+04,3.271526e+04,3.289778e+04,-1.969014e+02,1.636414e+02,-8.498872e+01
C II 1036,-4.640737e-08,-2.392107e-04,-2.392571e-04,1036.089049,-0.247951,0.000000e+00,3.272037e+15,4.614814e-07,0.000000e+00,-7.183727e+01,9.263251e+03,3.578230e-02,2.842171e-05,2.181966e+04,3.271529e+04,3.289778e+04,-2.002691e+02,1.664070e+02,-7.993779e+01
C II 1036,-5.834342e-08,-2.537679e-04,-2.538262e-04,1036.073950,-0.263050,0.000000e+00,3.822635e+14,4.631066e-07,0.000000e+00,-7.620362e+01,9.328614e+03,4.295041e-03,2.842171e-05,2.181966e+04,3.271532e+04,3.289778e+04,-2.033449e+02,1.690439e+02,-7.477781e+01
C II 1036,-5.977613e-08,-2.416886e-04,-2.417483e-04,1036.086467,-0.250533,0.000000e+00,2.489562e+15,4.712752e-07,0.000000e+00,-7.259003e+01,9.660603e+03,2.697902e-02,2.842171e-05,2.181966e+04,3.271532e+04,3.289781e+04,-2.121504e+02,1.694575e+02,-8.006208e+01
C II 1036,-6.877564e-08,-2.451872e-04,-2.452559e-04,1036.082832,-0.254168,0.000000e+00,4.016942e+14,4.663133e-07,0.000000e+00,-7.363413e+01,9.458247e+03,4.508243e-03,2.842171e-05,2.181969e+04,3.271532e+04,3.289781e+04,-2.078250e+02,1.679584e+02,-7.671782e+01
C II 1036,-7.027947e-08,-2.602405e-04,-2.603108e-04,1036.067230,-0.269770,0.000000e+00,2.573861e+15,4.679743e-07,0.000000e+00,-7.814957e+01,9.525749e+03,2.954780e-02,2.842171e-05,2.181969e+04,3.271535e+04,3.289781e+04,-2.108070e+02,1.709368e+02,-7.187036e+01
C II 1036,-8.013585e-08,-2.455891e-04,-2.456693e-04,1036.082404,-0.254596,0.000000e+00,3.906226e+15,4.811401e-07,0.000000e+00,-7.377016e+01,1.006928e+04,4.201680e-02,2.273737e-04,2.181967e+04,3.271536e+04,3.289786e+04,-2.253207e+02,1.722307e+02,-7.847096e+01
C II 1036,-9.415157e-08,-2.674753e-04,-2.675694e-04,1036.059708,-0.277292,0.000000e+00,6.300737e+15,4.783947e-07,0.000000e+00,-8.032980e+01,9.954692e+03,7.156460e-02,2.273737e-04,2.181967e+04,3.271542e+04,3.289786e+04,-2.258911e+02,1.733773e+02,-6.713599e+01
C II 1036,-1.180237e-07,-2.807907e-04,-2.809087e-04,1036.045884,-0.291116,0.000000e+00,7.112099e+14,4.728545e-07,0.000000e+00,-8.431715e+01,9.725460e+03,8.488707e-03,2.273737e-04,2.181967e+04,3.271548e+04,3.289786e+04,-2.243099e+02,1.714735e+02,-5.638941e+01
C II 1036,-1.208553e-07,-2.455556e-04,-2.456764e-04,1036.082396,-0.254604,0.000000e+00,4.108253e+15,4.755681e-07,0.000000e+00,-7.375328e+01,9.837406e+03,4.680489e-02,2.273737e-04,2.181967e+04,3.271548e+04,3.289792e+04,-2.280505e+02,1.631714e+02,-6.223089e+01
C II 1036,-1.364682e-07,-2.449019e-04,-2.450383e-04,1036.083058,-0.253942,0.000000e+00,1.270553e+15,4.549259e-07,0.000000e+00,-7.353732e+01,9.001947e+03,1.627100e-02,2.273737e-04,2.181973e+04,3.271548e+04,3.289792e+04,-2.079279e+02,1.555097e+02,-5.564615e+01
C II 1036,-1.418958e-07,-2.454926e-04,-2.456345e-04,1036.082440,-0.254560,0.000000e+00,4.335258e+15,4.428810e-07,0.000000e+00,-7.370402e+01,8.531576e+03,5.899422e-02,2.273737e-04,2.181973e+04,3.271555e+04,3.289792e+04,-2.003374e+02,1.485092e+02,-4.565479e+01
C II 1036,-1.615747e-07,-2.013501e-04,-2.015116e-04,1036.128166,-0.208834,0.000000e+00,9.016209e+14,4.299908e-07,0.000000e+00,-6.045565e+01,8.042173e+03,1.257038e-02,2.273737e-04,2.181973e+04,3.271555e+04,3.289798e+04,-1.894111e+02,1.317404e+02,-4.683455e+01
C II 1036,-1.657679e-07,-1.570507e-04,-1.572165e-04,1036.174071,-0.162929,0.000000e+00,7.883264e+15,3.737720e-07,0.000000e+00,-4.713641e+01,6.076710e+03,1.431292e-01,1.818989e-03,2.181976e+04,3.271564e+04,3.289801e+04,-1.472248e+02,9.852729e+01,-2.950849e+01
C II 1036,-2.135121e-07,-1.312125e-04,-1.314260e-04,1036.200798,-0.136202,0.000000e+00,4.247561e+15,3.369727e-07,0.000000e+00,-3.937413e+01,4.939063e+03,8.844064e-02,1.818989e-03,2.181976e+04,3.271576e+04,3.289801e+04,-1.261544e+02,7.929273e+01,-1.856122e+01
