Line	 z_cosmo	 z_doppler	 z_effective	 wavelength [A]	delta wavelength [A]	 optical depth	column density [cm^-2]	 thermal broadening [km/s]	equivalent width [A]	 velocity_los [km/s]	temperature [K]	 density [g/cm^3]	 pressure [dyne/cm^2]	dl [kpccm/h]	 cell_volume [kpccm/h^3]	 x [kpccm/h]	y [kpccm/h]	 z [kpccm/h]	 v_x [km/s]	 v_y [km/s]	v_z [km/s]	 
Line,z_cosmo,z_dopp,z_eff,lambda,delta_lamdba,tau,N,thermal_b,EW,v_los,T,rho,p,dl,cell_volume,x,y,z,vx,vy,vz
C II 1335,1.682403e-04,-1.448577e-04,2.335825e-05,1334.563172,0.031172,1.608665e-05,1.663232e+09,6.865081e-06,9.616753e-01,-4.343071e+01,2.049965e+06,7.221107e-29,3.092210e-14,1.622781e-01,1.455192e-02,2.158167e+04,3.245593e+04,3.325330e+04,8.486240e+00,2.496498e+01,-3.716564e+01
C II 1335,1.681862e-04,-1.420541e-04,2.610819e-05,1334.566842,0.034842,1.873319e-06,1.961380e+08,6.952064e-06,9.616753e-01,-4.259014e+01,2.102242e+06,7.049967e-29,3.093685e-14,1.466688e-02,1.455192e-02,2.158191e+04,3.245593e+04,3.325330e+04,7.188013e+00,2.567166e+01,-3.631471e+01
C II 1335,1.681813e-04,-1.399966e-04,2.816118e-05,1334.569582,0.037582,3.199266e-05,3.294114e+09,6.834509e-06,9.616753e-01,-4.197323e+01,2.031748e+06,7.140179e-29,3.030389e-14,4.392220e-01,1.164153e-01,2.158179e+04,3.245630e+04,3.325317e+04,6.643736e+00,2.501594e+01,-3.629474e+01
C II 1335,1.680348e-04,-1.408384e-04,2.717268e-05,1334.568263,0.036263,4.817399e-06,4.978786e+08,6.861400e-06,9.616753e-01,-4.222581e+01,2.047767e+06,7.260320e-29,3.106033e-14,6.363294e-02,1.164153e-01,2.158179e+04,3.245630e+04,3.325269e+04,4.206671e+00,2.536136e+01,-3.802185e+01
C II 1335,1.680135e-04,-1.358853e-04,3.210538e-05,1334.574846,0.042846,5.264313e-05,5.567521e+09,7.022850e-06,9.616753e-01,-4.074081e+01,2.145269e+06,6.954059e-29,3.112255e-14,4.223977e-01,1.164153e-01,2.158228e+04,3.245630e+04,3.325269e+04,1.895801e+00,2.652052e+01,-3.659686e+01
C II 1335,1.678726e-04,-1.318342e-04,3.601632e-05,1334.580065,0.048065,1.326483e-05,1.376116e+09,6.885766e-06,9.616753e-01,-3.952611e+01,2.062337e+06,6.976504e-29,3.003216e-14,2.052253e-01,1.164153e-01,2.158228e+04,3.245679e+04,3.325269e+04,1.721618e+00,2.557955e+01,-3.569655e+01
C II 1335,1.678042e-04,-1.339149e-04,3.386683e-05,1334.577196,0.045196,2.572833e-05,2.676070e+09,6.906147e-06,9.616753e-01,-4.015018e+01,2.074563e+06,7.147191e-29,3.095561e-14,4.074206e-01,1.164153e-01,2.158228e+04,3.245679e+04,3.325220e+04,-5.911726e-01,2.576863e+01,-3.798338e+01
C II 1335,1.676682e-04,-1.287883e-04,3.885832e-05,1334.583858,0.051858,2.853263e-05,3.032509e+09,7.057423e-06,9.616753e-01,-3.861319e+01,2.166443e+06,6.865309e-29,3.100760e-14,2.838353e-01,1.164153e-01,2.158276e+04,3.245679e+04,3.325220e+04,-2.678675e+00,2.648595e+01,-3.666571e+01
C II 1335,1.675735e-04,-1.365178e-04,3.103288e-05,1334.573414,0.041414,2.823939e-06,3.007117e+08,7.070868e-06,9.616753e-01,-4.093116e+01,2.174706e+06,7.240171e-29,3.285066e-14,2.877131e-02,9.313226e-01,2.158252e+04,3.245654e+04,3.325146e+04,-5.701049e+00,2.700492e+01,-4.157801e+01
C II 1335,1.675640e-04,-1.318581e-04,3.568379e-05,1334.579621,0.047621,1.224768e-05,1.250138e+09,6.775070e-06,9.616753e-01,-3.953377e+01,1.996561e+06,7.414606e-29,3.092623e-14,7.224370e-01,9.313226e-01,2.158252e+04,3.245752e+04,3.325146e+04,-3.646390e+00,2.410949e+01,-4.039070e+01
