Line	 z_cosmo	 z_doppler	 z_effective	 wavelength [A]	delta wavelength [A]	 optical depth	column density [cm^-2]	 thermal broadening [km/s]	equivalent width [A]	 velocity_los [km/s]	temperature [K]	 density [g/cm^3]	 pressure [dyne/cm^2]	dl [kpccm/h]	 cell_volume [kpccm/h^3]	 x [kpccm/h]	y [kpccm/h]	 z [kpccm/h]	 v_x [km/s]	 v_y [km/s]	v_z [km/s]	 
Line,z_cosmo,z_dopp,z_eff,lambda,delta_lamdba,tau,N,thermal_b,EW,v_los,T,rho,p,dl,cell_volume,x,y,z,vx,vy,vz
C II 1335,1.459034e-04,-1.880061e-04,-4.213009e-05,1334.475776,-0.056224,2.143125e-07,1.167788e+07,3.613759e-06,9.253591e-01,-5.636940e+01,5.680329e+05,5.368083e-30,6.376141e-16,7.384791e+00,4.768372e+02,2.164453e+04,3.233203e+04,3.282422e+04,4.738074e+01,4.137502e+01,-6.612444e-01
C II 1335,1.434398e-04,-2.078616e-04,-6.445160e-05,1334.445987,-0.086013,6.386524e-07,3.229645e+07,3.352757e-06,9.253591e-01,-6.232329e+01,4.889441e+05,6.822826e-30,7.004468e-16,8.698961e+00,4.768372e+02,2.164453e+04,3.233984e+04,3.282422e+04,5.035147e+01,4.718151e+01,-3.526558e+00
C II 1335,1.405377e-04,-2.223342e-04,-8.182777e-05,1334.422798,-0.109202,5.957185e-09,2.906391e+05,3.233146e-06,9.253591e-01,-6.666310e+01,4.546798e+05,7.637036e-30,7.299077e-16,1.437849e+00,4.768372e+02,2.164453e+04,3.234766e+04,3.282422e+04,5.182624e+01,5.163641e+01,-5.119063e+00
C II 1335,1.400580e-04,-2.070577e-04,-6.702866e-05,1334.442548,-0.089452,2.478040e-13,1.251976e+01,3.348376e-06,9.253591e-01,-6.208222e+01,4.876673e+05,7.313031e-30,7.496561e-16,1.329791e+00,4.768372e+02,2.165234e+04,3.234766e+04,3.282422e+04,4.691434e+01,4.944902e+01,-8.841962e+00
C II 1335,1.396144e-04,-1.853643e-04,-4.577577e-05,1334.470911,-0.061089,9.395871e-10,4.744162e+04,3.343635e-06,9.253591e-01,-5.557740e+01,4.862873e+05,6.352533e-30,6.491984e-16,5.931322e+00,4.768372e+02,2.165234e+04,3.234766e+04,3.283203e+04,4.506702e+01,4.295503e+01,-8.352535e+00
C II 1335,1.376357e-04,-1.843057e-04,-4.669543e-05,1334.469683,-0.062317,1.777212e-08,9.421202e+05,3.510249e-06,9.253591e-01,-5.526018e+01,5.359582e+05,5.998797e-30,6.743226e-16,8.698961e+00,4.768372e+02,2.165234e+04,3.235547e+04,3.283203e+04,4.886442e+01,4.018016e+01,-4.551259e+00
C II 1335,1.347336e-04,-2.053717e-04,-7.066574e-05,1334.437694,-0.094306,4.089857e-08,2.251191e+06,3.649048e-06,9.253591e-01,-6.157746e+01,5.791810e+05,5.598799e-30,6.747518e-16,3.199800e+00,4.768372e+02,2.165234e+04,3.236328e+04,3.283203e+04,5.809082e+01,4.201889e+01,9.329052e-01
C II 1335,1.336661e-04,-2.095946e-04,-7.595647e-05,1334.430634,-0.101366,8.896275e-08,5.334665e+06,3.974156e-06,9.253591e-01,-6.284429e+01,6.869812e+05,5.611649e-30,8.062629e-16,5.499161e+00,4.768372e+02,2.166016e+04,3.236328e+04,3.283203e+04,6.294004e+01,4.091083e+01,2.660324e+00
C II 1335,1.318316e-04,-2.403689e-04,-1.085690e-04,1334.387111,-0.144889,2.406642e-07,1.504856e+07,4.147844e-06,9.253591e-01,-7.207362e+01,7.483417e+05,6.517341e-30,1.016532e-15,8.698961e+00,4.768372e+02,2.166016e+04,3.237109e+04,3.283203e+04,7.499694e+01,4.485466e+01,7.339435e+00
C II 1335,1.289295e-04,-2.060262e-04,-7.712320e-05,1334.429077,-0.102923,2.050730e-07,1.246048e+07,4.027673e-06,9.253591e-01,-6.177660e+01,7.056080e+05,7.360298e-30,1.083146e-15,4.961751e+00,4.768372e+02,2.166016e+04,3.237891e+04,3.283203e+04,7.591808e+01,3.339987e+01,5.002676e+00
