Line	 z_cosmo	 z_doppler	 z_effective	 wavelength [A]	delta wavelength [A]	 optical depth	column density [cm^-2]	 thermal broadening [km/s]	equivalent width [A]	 velocity_los [km/s]	temperature [K]	 density [g/cm^3]	 pressure [dyne/cm^2]	dl [kpccm/h]	 cell_volume [kpccm/h^3]	 x [kpccm/h]	y [kpccm/h]	 z [kpccm/h]	 v_x [km/s]	 v_y [km/s]	v_z [km/s]	 
Line,z_cosmo,z_dopp,z_eff,lambda,delta_lamdba,tau,N,thermal_b,EW,v_los,T,rho,p,dl,cell_volume,x,y,z,vx,vy,vz
C II 1036,2.220446e-16,-1.111744e-03,-1.111744e-03,1035.184858,-1.152142,0.000000e+00,0.000000e+00,6.683061e-06,0.000000e+00,-3.336869e+02,1.942701e+06,7.652559e-29,3.122742e-14,7.349251e-02,1.818989e-03,2.167242e+04,3.251727e+04,3.323480e+04,-1.753743e+02,3.571049e+02,-2.801228e+02
C II 1036,-2.451617e-08,-1.112192e-03,-1.112216e-03,1035.184369,-1.152631,0.000000e+00,0.000000e+00,6.674952e-06,0.000000e+00,-3.338219e+02,1.937989e+06,7.661545e-29,3.118715e-14,1.134636e-01,1.818989e-03,2.167242e+04,3.251727e+04,3.323468e+04,-1.758914e+02,3.572009e+02,-2.804565e+02
C II 1036,-6.236619e-08,-1.114362e-03,-1.114424e-03,1035.182081,-1.154919,0.000000e+00,0.000000e+00,6.665320e-06,0.000000e+00,-3.344740e+02,1.932400e+06,7.687146e-29,3.120001e-14,3.713578e-02,1.818989e-03,2.167242e+04,3.251740e+04,3.323468e+04,-1.764192e+02,3.577943e+02,-2.811443e+02
C II 1036,-7.475421e-08,-1.114748e-03,-1.114823e-03,1035.181668,-1.155332,0.000000e+00,0.000000e+00,6.656283e-06,0.000000e+00,-3.345906e+02,1.927164e+06,7.695496e-29,3.114810e-14,6.949963e-02,1.818989e-03,2.167242e+04,3.251740e+04,3.323456e+04,-1.769217e+02,3.578707e+02,-2.814604e+02
C II 1036,-9.793841e-08,-1.119468e-03,-1.119566e-03,1035.176752,-1.160248,0.000000e+00,0.000000e+00,6.673982e-06,0.000000e+00,-3.360085e+02,1.937426e+06,7.709053e-29,3.137091e-14,8.109978e-02,1.818989e-03,2.167255e+04,3.251740e+04,3.323456e+04,-1.772082e+02,3.592893e+02,-2.825103e+02
C II 1036,-1.249923e-07,-1.119706e-03,-1.119831e-03,1035.176478,-1.160522,0.000000e+00,0.000000e+00,6.664054e-06,0.000000e+00,-3.360804e+02,1.931667e+06,7.716407e-29,3.130632e-14,7.192611e-02,1.818989e-03,2.167255e+04,3.251740e+04,3.323444e+04,-1.777041e+02,3.593303e+02,-2.827889e+02
C II 1036,-1.489859e-07,-1.121580e-03,-1.121728e-03,1035.174511,-1.162489,0.000000e+00,0.000000e+00,6.653770e-06,0.000000e+00,-3.366435e+02,1.925709e+06,7.739220e-29,3.130095e-14,7.867330e-02,1.818989e-03,2.167255e+04,3.251752e+04,3.323444e+04,-1.781774e+02,3.598245e+02,-2.834009e+02
C II 1036,-1.752303e-07,-1.118736e-03,-1.118911e-03,1035.177431,-1.159569,0.000000e+00,0.000000e+00,6.634467e-06,0.000000e+00,-3.357899e+02,1.914552e+06,7.732543e-29,3.109054e-14,1.178146e-01,1.455192e-02,2.167249e+04,3.251746e+04,3.323425e+04,-1.785531e+02,3.589638e+02,-2.830089e+02
C II 1036,-2.145317e-07,-1.126963e-03,-1.127177e-03,1035.168864,-1.168136,0.000000e+00,0.000000e+00,6.666141e-06,0.000000e+00,-3.382612e+02,1.932877e+06,7.751291e-29,3.146800e-14,6.317344e-02,1.455192e-02,2.167273e+04,3.251746e+04,3.323425e+04,-1.789746e+02,3.614493e+02,-2.847978e+02
C II 1036,-2.356056e-07,-1.127672e-03,-1.127907e-03,1035.168108,-1.168892,0.000000e+00,0.000000e+00,6.605018e-06,0.000000e+00,-3.384755e+02,1.897593e+06,7.807485e-29,3.111115e-14,4.214096e-01,1.164153e-01,2.167261e+04,3.251782e+04,3.323413e+04,-1.804987e+02,3.613648e+02,-2.857679e+02
C II 1036,-3.761825e-07,-1.126872e-03,-1.127248e-03,1035.168792,-1.168208,0.000000e+00,0.000000e+00,6.549076e-06,0.000000e+00,-3.382367e+02,1.865585e+06,7.821807e-29,3.063730e-14,2.144444e-01,1.164153e-01,2.167261e+04,3.251782e+04,3.323364e+04,-1.821990e+02,3.610225e+02,-2.864045e+02
