Line	 z_cosmo	 z_doppler	 z_effective	 wavelength [A]	delta wavelength [A]	 optical depth	column density [cm^-2]	 thermal broadening [km/s]	equivalent width [A]	 velocity_los [km/s]	temperature [K]	 density [g/cm^3]	 pressure [dyne/cm^2]	dl [kpccm/h]	 cell_volume [kpccm/h^3]	 x [kpccm/h]	y [kpccm/h]	 z [kpccm/h]	 v_x [km/s]	 v_y [km/s]	v_z [km/s]	 
Line,z_cosmo,z_dopp,z_eff,lambda,delta_lamdba,tau,N,thermal_b,EW,v_los,T,rho,p,dl,cell_volume,x,y,z,vx,vy,vz
C II 1036,2.220446e-16,1.001475e-04,1.001475e-04,1036.440787,0.103787,0.000000e+00,7.696973e+04,4.693597e-06,0.000000e+00,2.978026e+01,9.582233e+05,1.410222e-29,2.843941e-15,4.322883e-01,4.768372e+02,2.162109e+04,3.234766e+04,3.304297e+04,-1.575703e+02,2.875632e+02,-1.956641e+02
C II 1036,-1.442009e-07,1.496372e-04,1.494930e-04,1036.491925,0.154925,0.000000e+00,0.000000e+00,4.978495e-06,0.000000e+00,4.463716e+01,1.078081e+06,1.253351e-29,2.843722e-15,2.674225e+00,4.768372e+02,2.162891e+04,3.234766e+04,3.304297e+04,-1.565230e+02,2.643325e+02,-1.982147e+02
C II 1036,-1.036258e-06,1.223743e-04,1.213379e-04,1036.462747,0.125747,0.000000e+00,0.000000e+00,4.764258e-06,0.000000e+00,3.649891e+01,9.872919e+05,1.290311e-29,2.681284e-15,5.963059e+00,4.768372e+02,2.162891e+04,3.234766e+04,3.305078e+04,-1.511444e+02,2.435245e+02,-1.747759e+02
C II 1036,-3.025390e-06,1.465263e-04,1.435005e-04,1036.485715,0.148715,0.000000e+00,0.000000e+00,4.924805e-06,0.000000e+00,4.373929e+01,1.054953e+06,1.287442e-29,2.858675e-15,3.876398e+00,4.768372e+02,2.162891e+04,3.235547e+04,3.305078e+04,-1.414993e+02,2.417082e+02,-1.854017e+02
C II 1036,-4.318462e-06,1.149954e-04,1.106764e-04,1036.451698,0.114698,0.000000e+00,0.000000e+00,4.810002e-06,0.000000e+00,3.426183e+01,1.006342e+06,1.650938e-29,3.496816e-15,9.839457e+00,4.768372e+02,2.162891e+04,3.235547e+04,3.305859e+04,-1.500984e+02,2.646743e+02,-1.872509e+02
C II 1036,-7.600667e-06,8.385301e-05,7.625171e-05,1036.416022,0.079022,0.000000e+00,7.845064e+06,4.029596e-06,0.000000e+00,2.492644e+01,7.062820e+05,2.183590e-29,3.246003e-15,1.674159e-01,4.768372e+02,2.162891e+04,3.235547e+04,3.306641e+04,-1.412876e+02,2.715204e+02,-1.828978e+02
C II 1036,-7.656513e-06,1.060811e-04,9.842379e-05,1036.439000,0.102000,0.000000e+00,0.000000e+00,4.322457e-06,0.000000e+00,3.158814e+01,8.126740e+05,2.095348e-29,3.583249e-15,9.672041e+00,4.768372e+02,2.162891e+04,3.236328e+04,3.306641e+04,-1.395482e+02,2.695813e+02,-1.904175e+02
C II 1036,-1.088287e-05,9.321942e-05,8.233554e-05,1036.422327,0.085327,0.000000e+00,3.422851e+00,3.925624e-06,0.000000e+00,2.766495e+01,6.703049e+05,2.935146e-29,4.138655e-15,1.772757e+00,4.768372e+02,2.162891e+04,3.236328e+04,3.307422e+04,-1.616510e+02,3.137040e+02,-2.103445e+02
C II 1036,-1.147422e-05,8.650685e-05,7.503163e-05,1036.414758,0.077758,0.000000e+00,2.839848e-01,4.517620e-06,0.000000e+00,2.574787e+01,8.877169e+05,1.792711e-29,3.349086e-15,2.438472e+00,4.768372e+02,2.163672e+04,3.236328e+04,3.307422e+04,-1.338109e+02,2.527564e+02,-1.727998e+02
C II 1036,-1.228764e-05,7.561631e-05,6.332774e-05,1036.402629,0.065629,0.000000e+00,0.000000e+00,4.794032e-06,0.000000e+00,2.246803e+01,9.996706e+05,1.746713e-29,3.672546e-15,5.628227e+00,4.768372e+02,2.163672e+04,3.237109e+04,3.307422e+04,-1.341832e+02,2.662341e+02,-1.781132e+02
