Line	 z_cosmo	 z_doppler	 z_effective	 wavelength [A]	delta wavelength [A]	 optical depth	column density [cm^-2]	 thermal broadening [km/s]	equivalent width [A]	 velocity_los [km/s]	temperature [K]	 density [g/cm^3]	 pressure [dyne/cm^2]	dl [kpccm/h]	 cell_volume [kpccm/h^3]	 x [kpccm/h]	y [kpccm/h]	 z [kpccm/h]	 v_x [km/s]	 v_y [km/s]	v_z [km/s]	 
Line,z_cosmo,z_dopp,z_eff,lambda,delta_lamdba,tau,N,thermal_b,EW,v_los,T,rho,p,dl,cell_volume,x,y,z,vx,vy,vz
C II 1335,6.672209e-04,-3.694614e-04,2.975130e-04,1334.929041,0.397041,0.000000e+00,0.000000e+00,8.608961e-07,1.279489e+00,-1.108023e+02,3.223715e+04,1.352802e-31,9.161873e-19,6.111826e+01,2.441406e+05,1.996875e+04,3.240625e+04,3.228125e+04,1.415703e+02,-1.268128e+01,-6.445921e+01
C II 1335,6.468291e-04,-4.806909e-04,1.658272e-04,1334.753302,0.221302,0.000000e+00,0.000000e+00,7.698357e-07,1.279489e+00,-1.441738e+02,2.577812e+04,1.964885e-31,1.065971e-18,5.415903e+00,3.051758e+04,2.001562e+04,3.242188e+04,3.229688e+04,1.823881e+02,-1.508450e+01,-7.908006e+01
C II 1335,6.450221e-04,-5.603608e-04,8.429990e-05,1334.644501,0.112501,0.000000e+00,0.000000e+00,6.589490e-07,1.279489e+00,-1.680789e+02,1.888682e+04,2.733744e-31,1.086720e-18,2.788193e+01,3.051758e+04,2.001562e+04,3.245312e+04,3.229688e+04,2.107775e+02,-1.895593e+01,-8.603009e+01
C II 1335,6.357195e-04,-4.510609e-04,1.843718e-04,1334.778050,0.246050,0.000000e+00,0.000000e+00,7.413215e-07,1.279489e+00,-1.352794e+02,2.390388e+04,1.884568e-31,9.481755e-19,3.329783e+01,3.051758e+04,2.004688e+04,3.245312e+04,3.229688e+04,1.677789e+02,-5.717648e+00,-6.802542e+01
C II 1335,6.246099e-04,-4.278168e-04,1.965259e-04,1334.794270,0.262270,0.000000e+00,0.000000e+00,7.420784e-07,1.279489e+00,-1.283042e+02,2.395271e+04,1.419988e-31,7.158696e-19,8.569116e+00,3.051758e+04,2.007812e+04,3.245312e+04,3.229688e+04,1.581154e+02,-6.220322e+00,-6.112648e+01
C II 1335,6.217508e-04,-4.561815e-04,1.652857e-04,1334.752579,0.220579,0.000000e+00,0.000000e+00,1.057499e-06,1.279489e+00,-1.368154e+02,4.864244e+04,1.114001e-31,1.140065e-18,2.472871e+01,3.051758e+04,2.007812e+04,3.245312e+04,3.232813e+04,1.694281e+02,-5.079775e+00,-6.835428e+01
C II 1335,6.135002e-04,-4.982875e-04,1.149070e-04,1334.685347,0.153347,0.000000e+00,0.000000e+00,9.442059e-07,1.279489e+00,-1.494500e+02,3.877828e+04,1.183643e-31,9.656001e-19,3.329783e+01,3.051758e+04,2.010938e+04,3.245312e+04,3.232813e+04,1.853486e+02,-2.647657e+00,-7.681332e+01
C II 1335,6.023906e-04,-4.679690e-04,1.341397e-04,1334.711014,0.179014,0.000000e+00,0.000000e+00,1.001013e-06,1.279489e+00,-1.403515e+02,4.358478e+04,1.107728e-31,1.016088e-18,6.659566e+01,2.441406e+05,2.015625e+04,3.246875e+04,3.234375e+04,1.729775e+02,-1.672876e+00,-6.925965e+01
C II 1335,5.801714e-04,-4.850936e-04,9.479631e-05,1334.658509,0.126509,0.000000e+00,0.000000e+00,1.018467e-06,1.279489e+00,-1.454952e+02,4.511795e+04,1.248181e-31,1.185084e-18,6.659566e+01,2.441406e+05,2.021875e+04,3.246875e+04,3.234375e+04,1.839695e+02,-9.883118e+00,-8.197696e+01
C II 1335,5.579521e-04,-5.757048e-04,-1.807388e-05,1334.507880,-0.024120,0.000000e+00,0.000000e+00,9.944736e-07,1.279489e+00,-1.726803e+02,4.301715e+04,1.284387e-31,1.161455e-18,7.826279e+00,2.441406e+05,2.028125e+04,3.246875e+04,3.234375e+04,2.136907e+02,-7.308896e+00,-8.540985e+01
C II 1335,5.553409e-04,-6.078863e-04,-5.288292e-05,1334.461426,-0.070574,0.000000e+00,0.000000e+00,9.781482e-07,1.279489e+00,-1.823377e+02,4.161640e+04,1.305135e-31,1.137410e-18,5.876938e+01,2.441406e+05,2.028125e+04,3.246875e+04,3.240625e+04,2.251195e+02,-5.117000e+00,-8.981527e+01
C II 1335,5.357329e-04,-5.285751e-04,6.874610e-06,1334.541174,0.009174,0.000000e+00,0.000000e+00,9.692011e-07,1.279489e+00,-1.585342e+02,4.085855e+04,8.733170e-32,7.408962e-19,6.659566e+01,2.441406e+05,2.034375e+04,3.246875e+04,3.240625e+04,1.938465e+02,-4.529113e+00,-7.242106e+01
C II 1335,5.135137e-04,-5.149385e-04,-1.689228e-06,1334.529746,-0.002254,0.000000e+00,0.000000e+00,1.272741e-06,1.279489e+00,-1.544399e+02,7.045883e+04,7.174074e-32,1.026749e-18,4.106800e+01,2.441406e+05,2.040625e+04,3.246875e+04,3.240625e+04,1.866424e+02,-1.250031e+00,-6.542803e+01
C II 1335,4.998116e-04,-4.691097e-04,3.046740e-05,1334.572660,0.040660,0.000000e+00,0.000000e+00,1.198164e-06,1.279489e+00,-1.406889e+02,6.244356e+04,6.331666e-32,8.040250e-19,2.552766e+01,2.441406e+05,2.040625e+04,3.253125e+04,3.240625e+04,1.691542e+02,1.325563e+00,-5.812921e+01
C II 1335,4.912944e-04,-5.624652e-04,-7.144711e-05,1334.436652,-0.095348,0.000000e+00,0.000000e+00,1.906022e-06,1.279489e+00,-1.687006e+02,1.580195e+05,9.817751e-32,3.028300e-18,7.083442e+00,2.441406e+05,2.046875e+04,3.253125e+04,3.240625e+04,2.030788e+02,8.026412e+00,-7.338002e+01
C II 1335,4.889311e-04,-3.809372e-04,1.078076e-04,1334.675873,0.143873,0.000000e+00,0.000000e+00,1.416667e-06,1.279489e+00,-1.142366e+02,8.729530e+04,5.622634e-32,9.704296e-19,5.951222e+01,2.441406e+05,2.046875e+04,3.253125e+04,3.246875e+04,1.360445e+02,6.909911e+00,-4.596631e+01
C II 1335,4.690752e-04,-4.211803e-04,4.769731e-05,1334.595654,0.063654,0.000000e+00,0.000000e+00,1.598755e-06,1.279489e+00,-1.263100e+02,1.111781e+05,7.440446e-32,1.615478e-18,3.329783e+01,3.051758e+04,2.051562e+04,3.251562e+04,3.245312e+04,1.516814e+02,6.673449e+00,-5.414395e+01
C II 1335,4.579655e-04,-5.120356e-04,-5.430454e-05,1334.459529,-0.072471,0.000000e+00,0.000000e+00,1.326774e-06,1.279489e+00,-1.535678e+02,7.656831e+04,1.175657e-31,1.776981e-18,6.712023e+00,3.051758e+04,2.054688e+04,3.251562e+04,3.245312e+04,1.838572e+02,8.752282e+00,-6.445515e+01
