Line	 z_cosmo	 z_doppler	 z_effective	 wavelength [A]	delta wavelength [A]	 optical depth	column density [cm^-2]	 thermal broadening [km/s]	equivalent width [A]	 velocity_los [km/s]	temperature [K]	 density [g/cm^3]	 pressure [dyne/cm^2]	dl [kpccm/h]	 cell_volume [kpccm/h^3]	 x [kpccm/h]	y [kpccm/h]	 z [kpccm/h]	 v_x [km/s]	 v_y [km/s]	v_z [km/s]	 
Line,z_cosmo,z_dopp,z_eff,lambda,delta_lamdba,tau,N,thermal_b,EW,v_los,T,rho,p,dl,cell_volume,x,y,z,vx,vy,vz
C II 1335,6.672209e-04,-1.481065e-04,5.190155e-04,1335.224643,0.692643,0.000000e+00,0.000000e+00,1.190636e-06,1.640523e+00,-4.440523e+01,6.166139e+04,4.277223e-32,5.549117e-19,6.949216e+01,2.441406e+05,2.190625e+04,3.115625e+04,3.409375e+04,-2.031696e+01,2.869771e+01,-3.418945e+01
C II 1335,6.440352e-04,-1.938512e-04,4.500592e-04,1335.132618,0.600618,0.000000e+00,0.000000e+00,1.232174e-06,1.640523e+00,-5.812296e+01,6.603883e+04,4.218699e-32,5.830296e-19,2.101134e+01,2.441406e+05,2.190625e+04,3.121875e+04,3.409375e+04,-3.845797e+01,4.237385e+01,-3.770574e+01
C II 1335,6.370249e-04,-2.110855e-04,4.258049e-04,1335.100250,0.568250,0.000000e+00,0.000000e+00,7.766790e-07,1.640523e+00,-6.329325e+01,2.623845e+04,5.884425e-32,3.199503e-19,5.797047e+01,2.441406e+05,2.190625e+04,3.121875e+04,3.403125e+04,-5.556999e+01,4.582423e+01,-4.054497e+01
C II 1335,6.176834e-04,-1.653885e-04,4.521927e-04,1335.135466,0.603466,0.000000e+00,0.000000e+00,8.359670e-07,1.640523e+00,-4.958891e+01,3.039718e+04,3.795359e-32,2.399250e-19,4.448874e+01,2.441406e+05,2.190625e+04,3.128125e+04,3.403125e+04,-4.135642e+01,3.863128e+01,-2.837392e+01
C II 1335,6.028400e-04,-2.501039e-04,3.525853e-04,1335.002536,0.470536,0.000000e+00,0.000000e+00,7.797487e-07,1.640523e+00,-7.499443e+01,2.644627e+04,6.078404e-32,3.364050e-19,3.449308e+01,2.441406e+05,2.190625e+04,3.128125e+04,3.396875e+04,-6.199810e+01,5.718741e+01,-4.455039e+01
C II 1335,5.913316e-04,-1.634416e-04,4.277934e-04,1335.102904,0.570904,0.000000e+00,0.000000e+00,1.053801e-06,1.640523e+00,-4.900488e+01,4.830281e+04,3.413042e-32,3.439644e-19,6.796613e+01,2.441406e+05,2.190625e+04,3.134375e+04,3.396875e+04,-3.928821e+01,3.873933e+01,-2.741662e+01
C II 1335,5.686551e-04,-1.456806e-04,4.228916e-04,1335.096362,0.564362,0.000000e+00,0.000000e+00,8.226096e-07,1.640523e+00,-4.367903e+01,2.943355e+04,3.186749e-32,1.964781e-19,1.101568e+01,2.441406e+05,2.190625e+04,3.134375e+04,3.390625e+04,-3.539965e+01,3.156303e+01,-2.825890e+01
C II 1335,5.649798e-04,-1.122852e-04,4.526312e-04,1335.136051,0.604051,0.000000e+00,0.000000e+00,1.447275e-06,1.640523e+00,-3.366508e+01,9.110817e+04,5.077472e-32,9.696399e-19,7.898181e+01,2.441406e+05,2.190625e+04,3.140625e+04,3.390625e+04,-2.494667e+01,2.736734e+01,-1.799441e+01
C II 1335,5.386280e-04,-9.398428e-05,4.445931e-04,1335.125324,0.593324,0.000000e+00,0.000000e+00,1.484789e-06,1.640523e+00,-2.817773e+01,9.589251e+04,8.375362e-32,1.681980e-18,1.246171e+01,2.441406e+05,2.190625e+04,3.146875e+04,3.390625e+04,-1.824071e+01,2.736479e+01,-9.456891e+00
C II 1335,5.344702e-04,-2.203767e-06,5.322652e-04,1335.242325,0.710325,0.000000e+00,0.000000e+00,2.310792e-06,1.640523e+00,-6.610960e-01,2.322612e+05,1.675275e-31,8.173274e-18,6.652010e+01,2.441406e+05,2.190625e+04,3.146875e+04,3.384375e+04,-1.586860e+01,-8.532901e-01,-1.114382e+00
C II 1335,5.122762e-04,1.652504e-05,5.288097e-04,1335.237713,0.705713,0.000000e+00,0.000000e+00,1.983876e-06,1.640523e+00,4.952465e+00,1.711923e+05,3.194784e-31,1.150119e-17,3.593911e+01,3.051758e+04,2.189062e+04,3.151562e+04,3.382812e+04,3.000240e+01,1.649558e+00,8.223737e+00
C II 1335,5.002853e-04,-2.941082e-05,4.708598e-04,1335.160377,0.628377,0.000000e+00,0.000000e+00,1.683648e-06,1.640523e+00,-8.818449e+00,1.232985e+05,3.036502e-31,7.876824e-18,3.551799e+00,3.051758e+04,2.189062e+04,3.151562e+04,3.379688e+04,2.612626e+01,6.715800e+00,-7.516485e+00
C II 1335,4.991003e-04,-3.786778e-05,4.612136e-04,1335.147504,0.615504,0.000000e+00,0.000000e+00,1.911124e-06,1.640523e+00,-1.135423e+01,1.588666e+05,3.649719e-31,1.219038e-17,3.949091e+01,3.051758e+04,2.189062e+04,3.154688e+04,3.379688e+04,2.976348e+01,1.194446e+01,-5.137334e+00
C II 1335,4.859243e-04,-6.232487e-05,4.235692e-04,1335.097267,0.565267,0.000000e+00,0.000000e+00,1.789083e-06,1.640523e+00,-1.868588e+01,1.392246e+05,4.289620e-31,1.254926e-17,8.186899e+00,3.051758e+04,2.189062e+04,3.157812e+04,3.379688e+04,1.916487e+01,2.024551e+01,-5.669029e+00
C II 1335,4.831928e-04,-3.903915e-05,4.441348e-04,1335.124712,0.592712,3.082829e-14,8.476067e-01,1.800160e-06,1.640523e+00,-1.170467e+01,1.409539e+05,5.082730e-31,1.506779e-17,3.130401e+01,3.051758e+04,2.189062e+04,3.157812e+04,3.376562e+04,1.892295e+01,3.725903e+00,-1.563807e+01
C II 1335,4.727484e-04,-4.241097e-05,4.303174e-04,1335.106272,0.574272,1.866581e-13,4.813924e+00,1.691417e-06,1.640523e+00,-1.271512e+01,1.244390e+05,6.189902e-31,1.615010e-17,1.992560e+01,3.051758e+04,2.189062e+04,3.160938e+04,3.376562e+04,1.411489e+01,1.093439e+01,-7.617221e+00
C II 1335,4.661004e-04,-2.969526e-05,4.363913e-04,1335.114378,0.582378,4.137451e-13,1.190574e+01,1.884973e-06,1.640523e+00,-8.903030e+00,1.545487e+05,4.931648e-31,1.577966e-17,1.956531e+01,3.051758e+04,2.189062e+04,3.160938e+04,3.373438e+04,1.252095e+01,6.932037e-01,-1.454516e+01
C II 1335,4.595725e-04,-6.034546e-05,3.991993e-04,1335.064744,0.532744,1.301625e-15,4.631000e-02,2.343374e-06,1.640523e+00,-1.809189e+01,2.388571e+05,3.288013e-31,1.616386e-17,3.166429e+01,3.051758e+04,2.189062e+04,3.164062e+04,3.373438e+04,1.038140e+01,1.227548e+01,-1.443866e+01
C II 1335,4.490079e-04,-5.397587e-05,3.950078e-04,1335.059151,0.527151,2.458053e-11,1.078966e+03,2.903651e-06,1.640523e+00,-1.618208e+01,3.667280e+05,4.930184e-31,3.728389e-17,7.826613e+00,3.051758e+04,2.189062e+04,3.164062e+04,3.370312e+04,3.167498e+00,1.661276e+01,-5.191972e+00
C II 1335,4.463966e-04,-5.714443e-05,3.892267e-04,1335.051435,0.519435,2.354323e-14,8.486847e-01,2.359615e-06,1.640523e+00,-1.713205e+01,2.421795e+05,2.263638e-31,1.136107e-17,1.405834e-01,3.051758e+04,2.189062e+04,3.167188e+04,3.370312e+04,6.515303e+00,1.268596e+01,-1.207042e+01
C II 1335,4.463497e-04,-1.343755e-04,3.119142e-04,1334.948260,0.416260,4.929516e-11,1.431019e+03,1.912991e-06,1.640523e+00,-4.028785e+01,1.591772e+05,4.668235e-31,1.557281e-17,3.935032e+01,3.051758e+04,2.185938e+04,3.167188e+04,3.370312e+04,1.350894e+01,3.245665e+01,-2.485764e+01
C II 1335,4.332207e-04,-1.662669e-04,2.668818e-04,1334.888162,0.356162,8.871598e-15,2.920952e-01,2.173498e-06,1.640523e+00,-4.985051e+01,2.054819e+05,6.035683e-31,2.602383e-17,3.912085e+00,3.051758e+04,2.185938e+04,3.170312e+04,3.370312e+04,1.640712e+01,3.305182e+01,-3.995864e+01
