Line	 z_cosmo	 z_doppler	 z_effective	 wavelength [A]	delta wavelength [A]	 optical depth	column density [cm^-2]	 thermal broadening [km/s]	equivalent width [A]	 velocity_los [km/s]	temperature [K]	 density [g/cm^3]	 pressure [dyne/cm^2]	dl [kpccm/h]	 cell_volume [kpccm/h^3]	 x [kpccm/h]	y [kpccm/h]	 z [kpccm/h]	 v_x [km/s]	 v_y [km/s]	v_z [km/s]	 
Line,z_cosmo,z_dopp,z_eff,lambda,delta_lamdba,tau,N,thermal_b,EW,v_los,T,rho,p,dl,cell_volume,x,y,z,vx,vy,vz
C III 977,2.220446e-16,1.074781e-04,1.074781e-04,977.125008,0.105008,0.000000e+00,6.143627e+02,1.127763e-06,0.000000e+00,3.206772e+01,5.532112e+04,1.421080e-31,1.652126e-18,2.803519e+00,2.441406e+05,2.228125e+04,3.440625e+04,3.396875e+04,-1.161349e+02,1.932438e+02,-2.028077e+02
C III 977,-9.351164e-07,1.393234e-04,1.383882e-04,977.155208,0.135208,0.000000e+00,4.556297e+04,1.224536e-06,0.000000e+00,4.159682e+01,6.522263e+04,2.998961e-31,4.106697e-18,1.944903e+01,2.441406e+05,2.228125e+04,3.434375e+04,3.396875e+04,-1.260666e+02,2.097789e+02,-2.068505e+02
C III 977,-7.422359e-06,1.087453e-04,1.013221e-04,977.118994,0.098994,0.000000e+00,3.457102e+04,1.212599e-06,0.000000e+00,3.243684e+01,6.395718e+04,2.154541e-31,2.894940e-18,5.565675e+01,2.441406e+05,2.221875e+04,3.434375e+04,3.396875e+04,-1.363271e+02,1.981488e+02,-2.014347e+02
C III 977,-2.598672e-05,9.584511e-05,6.985591e-05,977.088251,0.068251,0.000000e+00,1.471445e+05,1.314691e-06,0.000000e+00,2.860047e+01,7.518003e+04,2.732465e-31,4.282086e-18,1.840762e+01,2.441406e+05,2.221875e+04,3.428125e+04,3.396875e+04,-1.267594e+02,1.776050e+02,-1.795210e+02
C III 977,-3.212660e-05,1.070058e-04,7.487581e-05,977.093155,0.073155,0.000000e+00,1.344109e+04,1.572374e-06,0.000000e+00,3.195235e+01,1.075392e+05,1.868925e-31,4.209232e-18,5.669816e+01,2.441406e+05,2.221875e+04,3.428125e+04,3.390625e+04,-1.166863e+02,1.772593e+02,-1.766989e+02
C III 977,-5.103832e-05,1.570736e-04,1.060273e-04,977.123591,0.103591,0.000000e+00,1.991594e+03,1.756904e-06,0.000000e+00,4.692641e+01,1.342615e+05,2.358843e-31,6.642377e-18,4.616530e+00,3.051758e+04,2.223438e+04,3.423438e+04,3.392188e+04,-1.251525e+02,2.091812e+02,-1.958095e+02
C III 977,-5.257816e-05,1.227945e-04,7.020989e-05,977.088596,0.068596,0.000000e+00,3.754036e+03,1.452764e-06,0.000000e+00,3.666980e+01,9.180055e+04,2.287480e-31,4.404217e-18,7.628329e+00,3.051758e+04,2.223438e+04,3.423438e+04,3.389062e+04,-1.254466e+02,1.898978e+02,-1.843225e+02
C III 977,-5.512260e-05,9.050414e-05,3.537655e-05,977.054564,0.034564,0.000000e+00,1.830336e+04,1.408295e-06,0.000000e+00,2.700456e+01,8.626658e+04,2.466967e-31,4.453463e-18,2.530803e+01,3.051758e+04,2.220312e+04,3.423438e+04,3.389062e+04,-1.190288e+02,1.737893e+02,-1.797367e+02
C III 977,-6.356412e-05,7.299642e-05,9.427659e-06,977.029211,0.009211,0.000000e+00,1.922339e+04,1.602538e-06,0.000000e+00,2.176792e+01,1.117048e+05,2.568532e-31,6.013111e-18,2.837833e+01,3.051758e+04,2.220312e+04,3.420312e+04,3.389062e+04,-1.116637e+02,1.625601e+02,-1.748347e+02
C III 977,-7.302973e-05,6.330446e-05,-9.729900e-06,977.010494,-0.009506,0.000000e+00,1.749742e+04,1.411518e-06,0.000000e+00,1.883647e+01,8.666189e+04,3.164756e-31,5.752233e-18,9.174564e+00,3.051758e+04,2.220312e+04,3.420312e+04,3.385938e+04,-1.310641e+02,1.750857e+02,-1.927197e+02
