Line	 z_cosmo	 z_doppler	 z_effective	 wavelength [A]	delta wavelength [A]	 optical depth	column density [cm^-2]	 thermal broadening [km/s]	equivalent width [A]	 velocity_los [km/s]	temperature [K]	 density [g/cm^3]	 pressure [dyne/cm^2]	dl [kpccm/h]	 cell_volume [kpccm/h^3]	 x [kpccm/h]	y [kpccm/h]	 z [kpccm/h]	 v_x [km/s]	 v_y [km/s]	v_z [km/s]	 
Line,z_cosmo,z_dopp,z_eff,lambda,delta_lamdba,tau,N,thermal_b,EW,v_los,T,rho,p,dl,cell_volume,x,y,z,vx,vy,vz
C II 1335,2.335058e-04,2.273230e-04,4.608819e-04,1335.147062,0.615062,0.000000e+00,0.000000e+00,2.808856e-06,1.785641e-01,6.813005e+01,3.431738e+05,3.452433e-31,2.470197e-17,7.776433e+00,3.051758e+04,2.192188e+04,3.332812e+04,3.323438e+04,7.836822e+01,7.390136e+01,-1.336678e+01
C II 1335,2.309114e-04,2.426383e-04,4.736057e-04,1335.164042,0.632042,0.000000e+00,0.000000e+00,2.553825e-06,1.785641e-01,7.271653e+01,2.836857e+05,5.349879e-31,3.165104e-17,3.664105e+01,3.051758e+04,2.192188e+04,3.329688e+04,3.323438e+04,9.743886e+01,7.217441e+01,-6.983935e+00
C II 1335,2.186866e-04,1.912894e-04,4.100179e-04,1335.079182,0.547182,0.000000e+00,0.000000e+00,2.468223e-06,1.785641e-01,5.732426e+01,2.649865e+05,7.051546e-31,3.927766e-17,1.228902e+01,3.051758e+04,2.192188e+04,3.326562e+04,3.323438e+04,1.011735e+02,5.736770e+01,-1.363539e+01
C II 1335,2.145865e-04,1.096505e-04,3.242605e-04,1334.964736,0.432736,1.473592e-11,4.673720e+02,2.084285e-06,1.785641e-01,3.285980e+01,1.889598e+05,7.187391e-31,2.853451e-17,2.435203e+01,3.051758e+04,2.192188e+04,3.326562e+04,3.320312e+04,8.070323e+01,3.038506e+01,-1.038223e+01
C II 1335,2.064618e-04,1.161056e-04,3.225914e-04,1334.962508,0.430508,9.890448e-11,3.229069e+03,2.136473e-06,1.785641e-01,3.479156e+01,1.985409e+05,9.559413e-31,3.993236e-17,3.664105e+01,3.051758e+04,2.192188e+04,3.323438e+04,3.320312e+04,8.857704e+01,3.684739e+01,-1.990994e+01
C II 1335,1.942371e-04,9.486489e-05,2.891204e-04,1334.917840,0.385840,9.792337e-13,3.387985e+01,2.284991e-06,1.785641e-01,2.842649e+01,2.271037e+05,1.030423e-30,4.924123e-17,1.506918e+00,3.051758e+04,2.192188e+04,3.320312e+04,3.320312e+04,7.964052e+01,3.290566e+01,-2.322870e+01
C II 1335,1.937343e-04,7.893302e-05,2.726826e-04,1334.895904,0.363904,7.851255e-12,2.591740e+02,2.174933e-06,1.785641e-01,2.364737e+01,2.057533e+05,1.280446e-30,5.542197e-17,4.870997e+00,3.051758e+04,2.192188e+04,3.320312e+04,3.317188e+04,9.003964e+01,2.823450e+01,-2.794689e+01
C II 1335,1.921092e-04,5.689607e-05,2.490162e-04,1334.864320,0.332320,2.386820e-10,6.506986e+03,1.782630e-06,1.785641e-01,1.704624e+01,1.382221e+05,1.267874e-30,3.685534e-17,3.026314e+01,3.051758e+04,2.189062e+04,3.320312e+04,3.317188e+04,7.545547e+01,1.862552e+01,-2.037230e+01
C II 1335,1.820123e-04,4.668517e-05,2.287060e-04,1334.837215,0.305215,5.096449e-11,1.523471e+03,1.969215e-06,1.785641e-01,1.398416e+01,1.686713e+05,1.239097e-30,4.398247e-17,2.736587e+01,3.051758e+04,2.189062e+04,3.317188e+04,3.317188e+04,7.799434e+01,1.738180e+01,-2.513863e+01
C II 1335,1.728821e-04,1.008957e-04,2.737952e-04,1334.897389,0.365389,2.810942e-11,8.628348e+02,2.023300e-06,1.785641e-01,3.022774e+01,1.780638e+05,1.694214e-30,6.346747e-17,9.275185e+00,3.051758e+04,2.189062e+04,3.317188e+04,3.314062e+04,9.770252e+01,3.737099e+01,-3.267533e+01
