# wavelength[A] tau flux flux_error
1.150000e+03 0.000000e+00 5.638032e-01 1.372224e-01
1.150010e+03 0.000000e+00 6.560421e-01 1.480222e-01
1.150020e+03 0.000000e+00 7.250932e-01 1.556174e-01
1.150030e+03 0.000000e+00 8.141170e-01 1.648939e-01
1.150040e+03 0.000000e+00 8.605953e-01 1.695355e-01
1.150050e+03 0.000000e+00 8.911840e-01 1.725221e-01
1.150060e+03 0.000000e+00 8.762326e-01 1.710688e-01
1.150070e+03 0.000000e+00 9.269686e-01 1.759518e-01
1.150080e+03 0.000000e+00 9.379832e-01 1.769940e-01
1.150090e+03 0.000000e+00 9.577164e-01 1.788461e-01
1.150100e+03 0.000000e+00 9.779513e-01 1.807256e-01
1.150110e+03 0.000000e+00 9.936385e-01 1.821694e-01
1.150120e+03 0.000000e+00 9.428092e-01 1.774488e-01
1.150130e+03 0.000000e+00 9.235332e-01 1.756254e-01
1.150140e+03 0.000000e+00 9.701648e-01 1.800047e-01
1.150150e+03 0.000000e+00 9.646168e-01 1.794893e-01
1.150160e+03 0.000000e+00 9.598565e-01 1.790459e-01
1.150170e+03 0.000000e+00 1.052749e+00 1.875096e-01
1.150180e+03 0.000000e+00 9.696829e-01 1.799600e-01
1.150190e+03 0.000000e+00 9.747297e-01 1.804277e-01
1.150200e+03 0.000000e+00 9.367052e-01 1.768734e-01
1.150210e+03 0.000000e+00 9.528385e-01 1.783901e-01
1.150220e+03 0.000000e+00 9.564376e-01 1.787267e-01
1.150230e+03 0.000000e+00 9.281759e-01 1.760663e-01
1.150240e+03 0.000000e+00 1.006749e+00 1.833672e-01
1.150250e+03 0.000000e+00 1.004058e+00 1.831220e-01
1.150260e+03 0.000000e+00 9.741450e-01 1.803736e-01
1.150270e+03 0.000000e+00 1.011127e+00 1.837655e-01
1.150280e+03 0.000000e+00 9.449485e-01 1.776500e-01
1.150290e+03 0.000000e+00 1.019473e+00 1.845224e-01
1.150300e+03 0.000000e+00 9.882278e-01 1.816727e-01
1.150310e+03 0.000000e+00 1.005162e+00 1.832226e-01
1.150320e+03 0.000000e+00 9.766623e-01 1.806065e-01
1.150330e+03 0.000000e+00 1.020792e+00 1.846417e-01
1.150340e+03 0.000000e+00 1.043642e+00 1.866968e-01
1.150350e+03 0.000000e+00 1.026756e+00 1.851803e-01
1.150360e+03 0.000000e+00 9.536465e-01 1.784657e-01
1.150370e+03 0.000000e+00 9.972835e-01 1.825032e-01
1.150380e+03 0.000000e+00 9.876670e-01 1.816211e-01
1.150390e+03 0.000000e+00 1.019115e+00 1.844899e-01
1.150400e+03 0.000000e+00 9.806673e-01 1.809764e-01
1.150410e+03 0.000000e+00 1.008665e+00 1.835416e-01
1.150420e+03 0.000000e+00 9.595001e-01 1.790126e-01
1.150430e+03 0.000000e+00 1.008734e+00 1.835479e-01
1.150440e+03 0.000000e+00 9.765321e-01 1.805944e-01
1.150450e+03 0.000000e+00 1.015128e+00 1.841287e-01
1.150460e+03 0.000000e+00 1.002511e+00 1.829808e-01
1.150470e+03 0.000000e+00 9.695981e-01 1.799521e-01
1.150480e+03 0.000000e+00 1.023177e+00 1.848573e-01
1.150490e+03 0.000000e+00 9.775563e-01 1.806891e-01
1.150500e+03 0.000000e+00 1.027476e+00 1.852452e-01
1.150510e+03 0.000000e+00 1.042293e+00 1.865761e-01
1.150520e+03 0.000000e+00 9.772537e-01 1.806611e-01
1.150530e+03 0.000000e+00 1.008967e+00 1.835691e-01
1.150540e+03 0.000000e+00 1.008091e+00 1.834894e-01
1.150550e+03 0.000000e+00 1.038960e+00 1.862775e-01
1.150560e+03 0.000000e+00 1.043416e+00 1.866766e-01
1.150570e+03 0.000000e+00 1.000555e+00 1.828023e-01
1.150580e+03 0.000000e+00 9.431613e-01 1.774819e-01
1.150590e+03 0.000000e+00 1.028783e+00 1.853629e-01
1.150600e+03 0.000000e+00 1.001923e+00 1.829272e-01
1.150610e+03 0.000000e+00 9.517484e-01 1.782880e-01
1.150620e+03 0.000000e+00 9.853666e-01 1.814095e-01
1.150630e+03 0.000000e+00 9.978559e-01 1.825555e-01
1.150640e+03 0.000000e+00 9.693176e-01 1.799261e-01
1.150650e+03 0.000000e+00 1.046176e+00 1.869233e-01
1.150660e+03 0.000000e+00 9.870406e-01 1.815635e-01
1.150670e+03 0.000000e+00 1.021001e+00 1.846605e-01
1.150680e+03 0.000000e+00 9.658097e-01 1.796002e-01
1.150690e+03 0.000000e+00 1.013203e+00 1.839541e-01
1.150700e+03 0.000000e+00 9.879381e-01 1.816461e-01
1.150710e+03 0.000000e+00 9.966430e-01 1.824446e-01
1.150720e+03 0.000000e+00 1.019048e+00 1.844839e-01
1.150730e+03 0.000000e+00 1.002908e+00 1.830171e-01
1.150740e+03 0.000000e+00 1.033871e+00 1.858207e-01
1.150750e+03 0.000000e+00 1.061105e+00 1.882523e-01
1.150760e+03 0.000000e+00 1.021019e+00 1.846622e-01
1.150770e+03 0.000000e+00 1.018884e+00 1.844691e-01
1.150780e+03 0.000000e+00 1.001978e+00 1.829322e-01
1.150790e+03 0.000000e+00 9.731910e-01 1.802852e-01
1.150800e+03 0.000000e+00 1.036089e+00 1.860200e-01
1.150810e+03 0.000000e+00 1.021209e+00 1.846794e-01
1.150820e+03 0.000000e+00 1.021752e+00 1.847285e-01
1.150830e+03 0.000000e+00 9.628423e-01 1.793241e-01
1.150840e+03 0.000000e+00 1.012142e+00 1.838577e-01
1.150850e+03 0.000000e+00 9.845829e-01 1.813373e-01
1.150860e+03 0.000000e+00 1.003511e+00 1.830721e-01
1.150870e+03 0.000000e+00 9.923466e-01 1.820509e-01
1.150880e+03 0.000000e+00 1.030598e+00 1.855264e-01
1.150890e+03 0.000000e+00 1.018260e+00 1.844125e-01
1.150900e+03 0.000000e+00 9.544470e-01 1.785406e-01
1.150910e+03 0.000000e+00 1.011734e+00 1.838207e-01
1.150920e+03 0.000000e+00 1.008881e+00 1.835613e-01
1.150930e+03 0.000000e+00 9.810518e-01 1.810119e-01
1.150940e+03 0.000000e+00 1.018418e+00 1.844268e-01
1.150950e+03 0.000000e+00 1.016010e+00 1.842087e-01
1.150960e+03 0.000000e+00 9.916967e-01 1.819913e-01
1.150970e+03 0.000000e+00 9.635114e-01 1.793864e-01
1.150980e+03 0.000000e+00 1.051788e+00 1.874240e-01
1.150990e+03 0.000000e+00 9.790350e-01 1.808257e-01
1.151000e+03 0.000000e+00 9.239225e-01 1.756624e-01
1.151010e+03 0.000000e+00 1.016651e+00 1.842668e-01
1.151020e+03 0.000000e+00 9.557804e-01 1.786653e-01
1.151030e+03 0.000000e+00 1.015026e+00 1.841194e-01
1.151040e+03 0.000000e+00 1.014262e+00 1.840502e-01
1.151050e+03 0.000000e+00 1.033845e+00 1.858184e-01
1.151060e+03 0.000000e+00 1.031942e+00 1.856473e-01
1.151070e+03 0.000000e+00 9.546509e-01 1.785597e-01
1.151080e+03 0.000000e+00 9.643643e-01 1.794658e-01
1.151090e+03 0.000000e+00 1.008422e+00 1.835195e-01
1.151100e+03 0.000000e+00 9.514094e-01 1.782563e-01
1.151110e+03 0.000000e+00 9.967971e-01 1.824587e-01
1.151120e+03 0.000000e+00 9.798335e-01 1.808995e-01
1.151130e+03 0.000000e+00 1.011284e+00 1.837798e-01
1.151140e+03 0.000000e+00 1.056056e+00 1.878039e-01
1.151150e+03 0.000000e+00 9.692849e-01 1.799231e-01
1.151160e+03 0.000000e+00 1.016743e+00 1.842751e-01
1.151170e+03 0.000000e+00 9.195151e-01 1.752429e-01
1.151180e+03 0.000000e+00 1.003069e+00 1.830318e-01
1.151190e+03 0.000000e+00 1.054725e+00 1.876855e-01
1.151200e+03 0.000000e+00 1.017022e+00 1.843004e-01
1.151210e+03 0.000000e+00 1.038126e+00 1.862028e-01
1.151220e+03 0.000000e+00 9.720638e-01 1.801808e-01
1.151230e+03 0.000000e+00 9.702011e-01 1.800081e-01
1.151240e+03 0.000000e+00 9.959625e-01 1.823823e-01
1.151250e+03 0.000000e+00 1.017648e+00 1.843571e-01
1.151260e+03 0.000000e+00 1.024685e+00 1.849934e-01
1.151270e+03 0.000000e+00 9.876687e-01 1.816213e-01
1.151280e+03 0.000000e+00 9.663623e-01 1.796516e-01
1.151290e+03 0.000000e+00 1.057333e+00 1.879174e-01
1.151300e+03 0.000000e+00 9.934691e-01 1.821538e-01
1.151310e+03 0.000000e+00 9.993461e-01 1.826918e-01
1.151320e+03 0.000000e+00 9.257581e-01 1.758368e-01
1.151330e+03 0.000000e+00 1.032119e+00 1.856633e-01
1.151340e+03 0.000000e+00 1.005555e+00 1.832585e-01
1.151350e+03 0.000000e+00 9.794656e-01 1.808655e-01
1.151360e+03 0.000000e+00 9.823124e-01 1.811281e-01
1.151370e+03 0.000000e+00 9.818198e-01 1.810827e-01
1.151380e+03 0.000000e+00 9.928605e-01 1.820980e-01
1.151390e+03 0.000000e+00 1.039476e+00 1.863238e-01
1.151400e+03 0.000000e+00 1.062066e+00 1.883375e-01
1.151410e+03 0.000000e+00 9.965498e-01 1.824360e-01
1.151420e+03 0.000000e+00 9.706066e-01 1.800457e-01
1.151430e+03 0.000000e+00 1.006697e+00 1.833625e-01
1.151440e+03 0.000000e+00 9.802299e-01 1.809360e-01
1.151450e+03 0.000000e+00 9.869953e-01 1.815594e-01
1.151460e+03 0.000000e+00 9.527931e-01 1.783859e-01
1.151470e+03 0.000000e+00 9.808051e-01 1.809891e-01
1.151480e+03 0.000000e+00 9.939694e-01 1.821997e-01
1.151490e+03 0.000000e+00 9.762555e-01 1.805689e-01
1.151500e+03 0.000000e+00 9.866623e-01 1.815287e-01
1.151510e+03 0.000000e+00 1.024713e+00 1.849960e-01
1.151520e+03 0.000000e+00 9.464759e-01 1.777935e-01
1.151530e+03 0.000000e+00 1.016400e+00 1.842440e-01
1.151540e+03 0.000000e+00 1.014068e+00 1.840325e-01
1.151550e+03 0.000000e+00 9.527752e-01 1.783842e-01
1.151560e+03 0.000000e+00 1.028208e+00 1.853112e-01
1.151570e+03 0.000000e+00 9.670328e-01 1.797139e-01
1.151580e+03 0.000000e+00 9.448294e-01 1.776388e-01
1.151590e+03 0.000000e+00 9.949613e-01 1.822906e-01
1.151600e+03 0.000000e+00 9.463633e-01 1.777829e-01
