# wavelength[A] tau flux flux_error
1.000000e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000010e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000020e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000030e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000040e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000050e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000060e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000070e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000080e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000090e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000100e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000110e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000120e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000130e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000140e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000150e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000160e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000170e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000180e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000190e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000200e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000210e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000220e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000230e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000240e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000250e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000260e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000270e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000280e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000290e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000300e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000310e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000320e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000330e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000340e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000350e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000360e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000370e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000380e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000390e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000400e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000410e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000420e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000430e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000440e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000450e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000460e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000470e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000480e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000490e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000500e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000510e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000520e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000530e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000540e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000550e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000560e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000570e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000580e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000590e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000600e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000610e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000620e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000630e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000640e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000650e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000660e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000670e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000680e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000690e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000700e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000710e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000720e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000730e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000740e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000750e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000760e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000770e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000780e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000790e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000800e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000810e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000820e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000830e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000840e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000850e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000860e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.000870e+03 0.000000e+00 1.000000e+00 1.000000e-01
